Ward Number,Candidate Full Name,Vote
1,DOCTOR XHAKAZA,0
1,Dora Mlambo,0
1,Jean Sethato,0
1,Jongizwe Dlabathi,0
1,Nomadlozi Nkosi,0
1,Phelisa Nkunjana,0
2,DOCTOR XHAKAZA,0
2,Dora Mlambo,0
2,Jean Sethato,0
2,Jongizwe Dlabathi,0
2,Nomadlozi Nkosi,0
2,Phelisa Nkunjana,0
10,DOCTOR XHAKAZA,0
10,Dora Mlambo,0
10,Jean Sethato,0
10,Jongizwe Dlabathi,0
10,Nomadlozi Nkosi,0
10,Phelisa Nkunjana,0
11,DOCTOR XHAKAZA,0
11,Dora Mlambo,0
11,Jean Sethato,0
11,Jongizwe Dlabathi,0
11,Nomadlozi Nkosi,0
11,Phelisa Nkunjana,0
14,DOCTOR XHAKAZA,0
14,Dora Mlambo,0
14,Jean Sethato,0
14,Jongizwe Dlabathi,0
14,Nomadlozi Nkosi,0
14,Phelisa Nkunjana,0
26,DOCTOR XHAKAZA,0
26,Dora Mlambo,0
26,Jean Sethato,0
26,Jongizwe Dlabathi,0
26,Nomadlozi Nkosi,0
26,Phelisa Nkunjana,0
48,DOCTOR XHAKAZA,0
48,Dora Mlambo,0
48,Jean Sethato,0
48,Jongizwe Dlabathi,0
48,Nomadlozi Nkosi,0
48,Phelisa Nkunjana,0
59,DOCTOR XHAKAZA,0
59,Dora Mlambo,0
59,Jean Sethato,0
59,Jongizwe Dlabathi,0
59,Nomadlozi Nkosi,0
59,Phelisa Nkunjana,0
65,DOCTOR XHAKAZA,0
65,Dora Mlambo,0
65,Jean Sethato,0
65,Jongizwe Dlabathi,0
65,Nomadlozi Nkosi,0
65,Phelisa Nkunjana,0
72,DOCTOR XHAKAZA,0
72,Dora Mlambo,0
72,Jean Sethato,0
72,Jongizwe Dlabathi,0
72,Nomadlozi Nkosi,0
72,Phelisa Nkunjana,0
74,DOCTOR XHAKAZA,0
74,Dora Mlambo,0
74,Jean Sethato,0
74,Jongizwe Dlabathi,0
74,Nomadlozi Nkosi,0
74,Phelisa Nkunjana,0
